assists,bonus,bps,clean_sheets,creativity,dreamteam_count,goals_scored,ict_index,id,influence,minutes,points_per_game,red_cards,selected_by_percent,team,threat,total_points,transfers_in,transfers_out,yellow_cards,prices
0,1,150,3,17.2,0,0,16.7,652,131,801,2.9,0,0.4,11,19,26,142380,115769,3,5
0,1,182,4,26.4,0,0,20.6,10,163.2,900,3.4,0,0.1,1,16,34,39642,35159,2,4.5
0,2,402,7,66.3,1,1,80.1,211,513,2072,2.6,0,5.3,10,222,71,884065,608686,3,4.5
2,5,313,4,195.3,0,0,69.1,139,298.6,1775,2.5,0,0.4,6,198,54,167442,157280,2,5
0,2,204,3,68.1,0,1,38.8,331,274.4,1254,2.7,0,0.1,14,45,40,14442,6623,2,4.5
0,0,28,0,12.9,0,0,5.9,82,39.4,273,0.5,0,0.2,4,6,2,13530,44174,2,4
0,0,0,0,0,0,0,0,297,0,0,0,0,0,13,0,0,538,4778,0,4
1,6,264,3,234.5,1,1,67.4,563,243.2,1400,2.6,0,0.2,20,196,54,64843,58990,1,5
0,0,0,0,0,0,0,0,675,0,0,0,0,0,6,0,0,853,563,0,4
3,15,572,9,697.3,2,1,162.8,123,527.4,2367,3.5,0,6.9,5,399,112,2217959,2311355,3,5.5
0,0,0,0,0,0,0,0,690,0,0,0,0,0,7,0,0,541,274,0,4
0,1,135,3,29.8,0,0,20.4,594,111.6,659,3.1,0,0.3,11,62,28,75154,54373,0,4.5
1,0,152,2,162.4,0,0,48.9,226,183.4,954,1.8,0,0.6,9,144,27,184724,157983,3,5.5
0,0,0,0,0,0,0,0,658,0,0,0,0,0,4,0,0,2432,1499,0,4
1,10,536,11,76.1,1,0,77.7,16,602.6,2557,3.5,0,4.7,1,97,105,1074844,831290,2,4.5
0,2,220,4,52.2,1,0,41.4,491,230.2,1130,2.2,0,0.3,10,131,38,54457,84482,1,4.5
0,11,466,8,101.2,2,3,103.4,461,584.6,2407,3.7,0,5.8,20,347,99,2450655,2429578,2,5
0,0,24,0,25.3,0,0,5.7,471,31.2,172,0.5,0,0.7,20,0,1,56798,641304,0,4
1,12,656,17,91,1,1,96.3,556,651.6,2843,4.4,0,19.9,12,218,142,3169721,1715366,4,6
0,0,0,0,0,0,0,0,681,0,0,0,0,0,7,0,0,686,401,0,4
0,0,0,0,0,0,0,0,456,0,0,0,0,0.1,20,0,0,3905,28339,0,4
2,4,404,8,271.8,0,0,71.4,362,306.8,2598,2.7,0,0.7,16,135,78,133677,193104,5,5
1,0,127,1,166.8,0,1,41.9,438,155.2,564,2,0,0.2,19,96,28,24177,57997,2,4.5
0,0,0,0,0,0,0,0,534,0,0,0,0,0,6,0,0,4884,6529,0,4
0,0,0,0,0,0,0,0,399,0,0,0,0,0.1,17,0,0,1050,16595,0,4
0,0,0,0,0,0,0,0,522,0,0,0,0,0.4,6,0,0,62844,58981,0,4
1,1,233,2,17,0,1,40.3,486,284.6,1350,2.6,0,0.5,6,99,39,108121,136624,1,4
0,0,9,0,5.4,0,0,1.3,14,3.6,90,2,0,0.1,1,4,2,5329,21584,0,4
3,4,371,8,268.2,1,0,78,152,322.6,1607,3.2,0,2.4,7,189,81,459409,358280,0,5
3,4,370,6,267.6,1,2,87.4,389,412.2,1605,4.2,0,1.5,17,194,80,329516,494267,0,5
6,4,413,8,309.4,0,0,92.5,542,361.2,2244,3.3,0,4.1,17,253,89,1273765,1038892,5,89
0,0,0,0,0,0,0,0,58,0,0,0,0,0,3,0,0,662,5556,0,4
0,0,16,0,1,0,0,1.3,7,11.6,45,1,0,0,1,0,3,13464,14517,0,4
0,0,0,0,0,0,0,0,2,0,0,0,0,0.1,1,0,0,10266,19142,0,4
3,15,726,12,454.6,4,8,174.2,200,756.8,3410,4.5,0,33.1,10,527,171,4057136,1769387,7,5.5
3,2,156,2,162.9,0,1,46.7,77,147.8,887,3.2,1,2.2,3,156,35,1224276,1314351,2,4.5
0,0,0,0,0,0,0,0,623,0,0,0,0,0,12,0,0,421,563,0,4
0,0,0,0,0,0,0,0,319,0,0,0,0,0.5,13,0,0,72476,92685,0,4
0,10,481,10,84.9,2,2,84.5,490,537.8,1935,4,1,2.8,5,223,92,591224,676700,3,5.5
4,7,479,6,350.2,4,2,101.7,498,486.6,2345,3.5,0,5.7,9,181,94,2098048,2042062,1,5.5
0,0,17,0,30.5,0,0,6.4,312,17.8,80,0,0,0.1,13,16,0,5074,10563,1,4
0,4,469,10,106.5,1,1,84.6,386,559.8,2240,3.5,0,1.8,17,178,88,228249,316716,2,5
8,26,761,10,1238.8,4,2,255.7,259,789.6,3029,4.4,0,27.1,11,529,160,2272992,3840385,2,7.5
2,5,287,4,76.8,2,1,52.5,146,387.6,1710,3.1,0,12.8,6,60,58,2462336,2528023,1,4.5
2,8,633,14,97.3,2,2,119.3,41,798.4,3194,3.6,1,7.8,2,293,128,1697898,1349321,4,5
0,0,0,0,0,0,0,0,698,0,0,0,0,0,5,0,0,383,137,0,4
1,3,527,10,102.6,0,1,66.4,308,503,2585,3.5,0,1.9,13,56,102,271250,273777,0,5
0,1,73,1,4.8,0,1,15.3,250,82.4,370,3,0,6.2,11,66,15,385726,1998968,1,6.5
9,12,625,9,670.9,1,0,158.7,558,693.8,3054,3.8,0,8.6,19,220,128,1404346,731901,3,5
0,0,0,0,0,0,0,0,660,0,0,0,0,0,9,0,0,1414,1026,0,4
0,0,9,0,0.1,0,0,0.3,216,3,16,1,0,0.1,9,0,3,9870,15140,0,4
1,5,464,7,107.8,1,0,73.4,561,502,2260,2.5,0,1,9,121,71,238423,176127,7,4.5
0,0,3,0,0,0,0,0,713,0,1,1,0,0,13,0,1,0,0,0,4
0,0,0,0,0,0,0,0,27,0,0,0,0,0.4,1,0,0,30961,228228,0,4
1,4,364,6,46.1,0,1,64.2,458,414,1879,3.2,0,1.1,20,182,68,165928,272409,2,5
0,0,12,0,22.1,0,0,6,378,26,101,1,0,0,16,12,3,2274,7793,0,4
