name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Bamidele Alli,MID,Spurs,1.8,0,0,6,1,2.2,363,10,0,0,1.5,12.4,2021-08-15T15:30:00Z,90,12,0,0,0,0,1,0,84222,0,1,0,3,0,0,0,65,TRUE,0,1
Frank Onyeka,MID,Brentford,0.4,0,0,9,1,15.5,479,1,0,0,2.5,5.4,2021-08-13T19:00:00Z,79,1,0,0,0,0,1,0,4896,0,2,4,3,0,0,0,50,TRUE,0,1
Marco Stiepermann,MID,Norwich,0,0,0,0,0,0,316,7,0,0,0,0,2021-08-14T16:30:00Z,0,11,0,0,0,0,1,0,77,3,0,0,0,0,0,0,50,TRUE,0,1
Ashley Westwood,MID,Burnley,1.4,1,2,27,0,32.4,107,2,2,0,6,27.8,2021-08-14T14:00:00Z,90,4,0,0,0,0,1,0,46788,2,1,0,7,0,0,0,55,TRUE,0,1
Mads Bidstrup,MID,Brentford,0,0,0,4,0,0.3,97,1,0,0,0.5,4.2,2021-08-13T19:00:00Z,10,1,0,0,0,0,1,0,4979,0,2,0,1,0,0,0,45,TRUE,0,1
Anthony Gordon,MID,Everton,1,0,0,2,0,0.5,503,4,0,0,0.1,0,2021-08-14T14:00:00Z,1,16,0,0,0,0,1,0,2025,1,3,0,1,0,0,0,45,TRUE,0,1
Scott Banks,MID,Crystal Palace,0.5,0,0,0,0,0,543,3,0,0,0,0,2021-08-14T14:00:00Z,0,6,0,0,0,0,1,0,0,0,3,0,0,0,0,0,45,FALSE,0,1
Oghenekaro Peter Etebo,MID,Watford,0.5,0,0,16,0,11.6,467,8,2,0,3,18,2021-08-14T14:00:00Z,90,2,0,0,0,0,1,0,12764,2,3,0,1,0,0,0,45,TRUE,1,1
Lucas Rodrigues Moura da Silva,MID,Spurs,1.8,0,0,9,1,37.6,362,10,0,0,9.7,16.4,2021-08-15T15:30:00Z,90,12,0,0,0,0,1,0,53342,0,1,43,2,0,0,0,65,TRUE,1,1
Steven Bergwijn,MID,Spurs,1.6,1,0,13,1,21.9,369,10,0,0,6.8,22.8,2021-08-15T15:30:00Z,76,12,0,0,0,0,1,0,18514,0,1,23,6,0,0,0,60,TRUE,0,1
Callum Hudson-Odoi,MID,Chelsea,2.4,0,0,0,0,0,140,3,0,0,0,0,2021-08-14T14:00:00Z,0,7,0,0,0,0,1,0,14532,0,3,0,0,0,0,0,55,TRUE,0,1
Morgan Sanson,MID,Aston Villa,0,0,0,0,0,0,34,8,0,0,0,0,2021-08-14T14:00:00Z,0,18,0,0,0,0,1,0,947,2,3,0,0,0,0,0,50,FALSE,0,1
Mohamed Naser El Sayed Elneny,MID,Arsenal,2,0,0,0,0,0,12,1,0,0,0,0,2021-08-13T19:00:00Z,0,3,0,0,0,0,1,0,44765,0,2,0,0,0,0,0,45,FALSE,0,1
William Smallbone,MID,Southampton,0,0,0,0,0,0,347,4,0,0,0,0,2021-08-14T14:00:00Z,0,8,0,0,0,0,1,0,880,1,3,0,0,0,0,0,45,FALSE,0,1
Daniel James,MID,Man Utd,2.6,0,0,3,0,12.8,287,6,1,0,6.4,8.6,2021-08-14T11:30:00Z,74,10,0,0,0,0,1,0,9452,1,5,43,2,0,0,0,60,TRUE,0,1
Stuart Dallas,MID,Leeds,1.4,1,0,25,0,13.1,188,6,5,0,4.3,29.6,2021-08-14T11:30:00Z,90,13,0,0,0,0,1,0,1045606,1,5,0,5,0,0,0,55,FALSE,0,1
Carney Chukwuemeka,MID,Aston Villa,1.5,0,0,0,0,0,526,8,0,0,0,0,2021-08-14T14:00:00Z,0,18,0,0,0,0,1,0,1933,2,3,0,0,0,0,0,45,FALSE,0,1
Pierre Lees-Melou,MID,Norwich,0.4,0,0,15,0,30.1,471,7,3,0,6.3,29,2021-08-14T16:30:00Z,90,11,0,0,0,0,1,0,4850,3,0,4,2,0,0,0,50,TRUE,0,1
Tyler Roberts,MID,Leeds,0.9,0,0,7,0,14.3,193,6,0,0,2.2,4.4,2021-08-14T11:30:00Z,13,13,0,0,0,0,1,0,4628,1,5,3,1,0,0,0,50,FALSE,0,1
Andreas Pereira,MID,Man Utd,1.9,0,0,0,0,0,511,6,0,0,0,0,2021-08-14T11:30:00Z,0,10,0,0,0,0,1,0,1693,1,5,0,0,0,0,0,50,TRUE,0,1
Jamie Shackleton,MID,Leeds,0.5,0,0,0,0,0,197,6,0,0,0,0,2021-08-14T11:30:00Z,0,13,0,0,0,0,1,0,4409,1,5,0,0,0,0,0,45,FALSE,0,1
Ross Barkley,MID,Chelsea,2.4,0,0,0,0,0,124,3,0,0,0,0,2021-08-14T14:00:00Z,0,7,0,0,0,0,1,0,9890,0,3,0,0,0,0,0,55,TRUE,0,1
Cole Palmer,MID,Man City,1.5,0,0,0,0,0,507,10,0,0,0,0,2021-08-15T15:30:00Z,0,17,0,0,0,0,1,0,2450,0,1,0,0,0,0,0,45,FALSE,0,1
James Maddison,MID,Leicester,2.9,0,0,9,1,15.2,212,5,0,0,2.1,4.2,2021-08-14T14:00:00Z,61,20,0,0,0,0,1,0,833924,0,1,2,3,0,0,0,70,TRUE,0,1
Solomon March,MID,Brighton,2.4,0,0,12,0,45.3,60,2,1,0,7.5,18.6,2021-08-14T14:00:00Z,90,5,0,0,0,0,1,0,6789,2,1,11,2,0,0,0,55,FALSE,0,1
Jesurun Rak-Sakyi,MID,Crystal Palace,0.5,0,0,3,0,5,541,3,0,0,0.6,1,2021-08-14T14:00:00Z,13,6,0,0,0,0,1,0,0,0,3,0,1,0,0,0,45,FALSE,0,1
Isaac Hayden,MID,Newcastle,0,0,0,14,0,3.3,306,9,4,0,2,8.8,2021-08-15T13:00:00Z,90,19,0,0,0,0,1,0,10633,4,2,8,2,0,0,0,45,TRUE,0,1
Giovani Lo Celso,MID,Spurs,1.6,0,0,6,0,1,372,10,0,0,0.6,3,2021-08-15T15:30:00Z,13,12,0,0,0,0,1,0,10720,0,1,2,1,0,0,0,60,TRUE,0,1
Mathias Jensen,MID,Brentford,0,0,0,0,0,0,86,1,0,0,0,0,2021-08-13T19:00:00Z,0,1,0,0,0,0,1,0,2850,0,2,0,0,0,0,0,50,TRUE,0,1
Moussa Djenepo,MID,Southampton,1.9,0,0,5,0,7.2,350,4,3,0,3.8,17.2,2021-08-14T14:00:00Z,90,8,0,0,0,0,1,0,4568,1,3,14,2,0,0,0,55,FALSE,0,1
Ken Sema,MID,Watford,1.4,0,0,4,0,25.2,391,8,2,0,3.7,8,2021-08-14T14:00:00Z,90,2,0,0,0,0,1,0,4107,2,3,4,1,0,0,0,55,TRUE,1,1
Pierre-Emile Højbjerg,MID,Spurs,0.9,0,0,13,1,21.8,365,10,0,0,4.6,12.6,2021-08-15T15:30:00Z,89,12,0,0,0,0,1,0,203490,0,1,12,3,0,0,0,50,TRUE,0,1
Imrân Louza,MID,Watford,1.4,0,0,0,0,0,403,8,0,0,0,0,2021-08-14T14:00:00Z,0,2,0,0,0,0,1,0,2882,2,3,0,0,0,0,0,55,TRUE,0,1
Naby Keita,MID,Liverpool,2.4,0,0,12,1,16.8,239,7,0,0,3.4,13.4,2021-08-14T16:30:00Z,82,15,0,0,0,0,1,0,11589,3,0,4,3,0,0,0,50,FALSE,0,1
Jack Grealish,MID,Man City,3.2,0,0,17,0,28.6,33,10,1,0,11,18.2,2021-08-15T15:30:00Z,90,17,0,0,0,0,1,0,1605017,0,1,63,1,0,0,0,80,FALSE,1,1
Erik Lamela,MID,Spurs,0,0,0,0,0,0,356,10,0,0,0,0,2021-08-15T15:30:00Z,0,12,0,0,0,0,1,0,707,0,1,0,0,0,0,0,60,TRUE,0,1
Xherdan Shaqiri,MID,Liverpool,3.1,0,0,0,0,0,226,7,0,0,0,0,2021-08-14T16:30:00Z,0,15,0,0,0,0,1,0,7832,3,0,0,0,0,0,0,60,FALSE,0,1
Conor Hourihane,MID,Aston Villa,1.9,0,0,0,0,0,29,8,0,0,0,0,2021-08-14T14:00:00Z,0,18,0,0,0,0,1,0,3083,2,3,0,0,0,0,0,50,FALSE,0,1
Nathan Tella,MID,Southampton,1.4,0,0,2,0,0.3,346,4,1,0,0.3,0.2,2021-08-14T14:00:00Z,10,8,0,0,0,0,1,0,9118,1,3,2,1,0,0,0,50,FALSE,0,1
