name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Andrew Robertson,DEF,Liverpool,0,0,0,0,0,0,234,7,0,0,0,0,2021-08-14T16:30:00Z,0,15,0,0,0,0,1,0,106719,3,0,0,0,0,0,0,70,FALSE,0,1
Rayan Ait Nouri,DEF,Wolves,1.2,0,0,0,0,0,470,5,0,0,0,0,2021-08-14T14:00:00Z,0,9,0,0,0,0,1,0,44020,0,1,0,0,0,0,0,45,FALSE,0,1
Michal Karbownik,DEF,Brighton,1.5,0,0,0,0,0,536,2,0,0,0,0,2021-08-14T14:00:00Z,0,5,0,0,0,0,1,0,0,2,1,0,0,0,0,0,40,FALSE,0,1
Ciaran Clark,DEF,Newcastle,0.7,0,0,12,0,11.6,293,9,4,0,5.6,16.6,2021-08-15T13:00:00Z,90,19,0,0,0,0,1,0,9309,4,2,28,0,0,0,0,45,TRUE,0,1
Bobby Thomas,DEF,Burnley,0.5,0,0,0,0,0,534,2,0,0,0,0,2021-08-14T14:00:00Z,0,4,0,0,0,0,1,0,0,2,1,0,0,0,0,0,40,TRUE,0,1
Rhys Williams,DEF,Liverpool,2.7,0,0,0,0,0,247,7,0,0,0,0,2021-08-14T16:30:00Z,0,15,0,0,0,0,1,0,4581,3,0,0,0,0,0,0,45,FALSE,0,1
João Pedro Cavaco Cancelo,DEF,Man City,3.4,0,0,21,0,38.5,256,10,1,0,7.2,21.2,2021-08-15T15:30:00Z,90,17,0,0,0,0,1,0,484049,0,1,12,2,0,0,0,60,FALSE,0,1
Cédric Soares,DEF,Arsenal,2.7,0,0,0,0,0,5,1,0,0,0,0,2021-08-13T19:00:00Z,0,3,0,0,0,0,1,0,17385,0,2,0,0,0,0,0,45,FALSE,0,1
Joseph Gomez,DEF,Liverpool,3.2,0,0,0,0,0,238,7,0,0,0,0,2021-08-14T16:30:00Z,0,15,0,0,0,0,1,0,52503,3,0,0,0,0,0,0,50,FALSE,0,1
Eric Dier,DEF,Spurs,1.2,0,1,22,1,0.1,361,10,0,0,1.7,17,2021-08-15T15:30:00Z,90,12,0,0,0,0,1,0,96915,0,1,0,7,0,0,0,45,TRUE,0,1
Jan Bednarek,DEF,Southampton,1.7,0,0,0,0,0,343,4,0,0,0,0,2021-08-14T14:00:00Z,0,8,0,0,0,0,1,0,82735,1,3,0,0,0,0,0,45,FALSE,0,1
Pontus Jansson,DEF,Brentford,0.7,0,0,22,1,0,76,1,0,0,1.1,10.8,2021-08-13T19:00:00Z,90,1,0,0,0,0,1,0,28324,0,2,0,6,0,0,0,45,TRUE,0,1
Aymeric Laporte,DEF,Man City,3.1,0,0,0,0,0,259,10,0,0,0,0,2021-08-15T15:30:00Z,0,17,0,0,0,0,1,0,100948,0,1,0,0,0,0,0,55,FALSE,0,1
Nuno Varela Tavares,DEF,Arsenal,2.7,0,0,0,0,0.7,466,1,0,0,0.1,0,2021-08-13T19:00:00Z,9,3,0,0,0,0,1,0,21150,0,2,1,1,0,0,0,45,FALSE,0,1
Konstantinos Tsimikas,DEF,Liverpool,2,0,0,21,1,2.9,245,7,0,0,4.9,9.4,2021-08-14T16:30:00Z,90,15,0,0,0,0,1,0,1540416,3,0,37,6,0,0,0,40,FALSE,0,1
Dimitris Giannoulis,DEF,Norwich,0.7,0,0,18,0,12.2,457,7,3,0,3.6,21.4,2021-08-14T16:30:00Z,90,11,0,0,0,0,1,0,6451,3,0,2,1,0,0,0,45,TRUE,0,1
Kyle Walker-Peters,DEF,Southampton,2.2,0,0,0,0,0,342,4,0,0,0,0,2021-08-14T14:00:00Z,0,8,0,0,0,0,1,0,55553,1,3,0,0,0,0,0,50,FALSE,0,1
Christian Kabasele,DEF,Watford,1.2,0,0,12,0,0.1,384,8,2,0,2.4,20.2,2021-08-14T14:00:00Z,90,2,0,0,0,0,1,0,6905,2,3,4,1,0,0,0,45,TRUE,0,1
Ibrahima Konaté,DEF,Liverpool,3.6,0,0,0,0,0,243,7,0,0,0,0,2021-08-14T16:30:00Z,0,15,0,0,0,0,1,0,212508,3,0,0,0,0,0,0,55,FALSE,0,1
