assists,bonus,bps,clean_sheets,corners_and_indirect_freekicks_order,creativity,creativity_rank,direct_freekicks_order,dreamteam_count,first_name,second_name,element_type,goals_scored,ict_index,ict_index_rank,id,influence,influence_rank,minutes,penalties_missed,penalties_order,points_per_game,red_cards,saves,selected_by_percent,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_out,yellow_cards,prices
0,0,81,2,0,29.5,374,0,0,Japhet,Tanganga,DEF,0,13.8,407,402,68.8,403,487,0,0,2.3,0,0,0.1,17,6,40,364,133,14,3812,9900,2,4.5
0,0,0,0,0,0,501,0,0,Jarrad,Branthwaite,DEF,0,0,534,170,0,525,0,0,0,0,0,0,1,7,11,0,477,185,0,140402,333730,0,4
0,0,136,3,0,93.5,281,0,0,Javier,Manquillo,DEF,0,22.2,375,332,109.8,367,822,0,0,2.2,0,0,0.2,14,4,18,394,151,28,23143,41480,1,4
0,0,50,0,0,22.1,384,0,0,Jimmy,Dunne,DEF,1,18.3,392,519,79.6,391,270,0,0,3,0,0,4.1,4,90,81,310,103,9,1073282,876794,1,4
4,18,610,14,0,673,32,0,3,Joao Pedro Cavaco,Cancelo,DEF,2,163.7,57,277,569.8,90,2298,0,0,4.9,1,0,10.6,12,43,394,96,7,138,3025558,2345577,5,6
0,3,169,2,0,3.6,445,0,1,Joe,Rodon,DEF,0,17.7,395,584,166.2,325,732,0,0,2.2,0,0,0.1,17,6,6,426,162,27,17636,15009,0,4.5
2,5,194,3,0,42.4,349,0,1,Joel,Matip,DEF,1,30.6,354,246,179,307,690,0,0,4.2,0,0,0.4,11,14,84,306,102,42,270019,298593,2,5
1,10,432,9,0,366,100,0,2,Joel,Veltman,DEF,1,102.1,140,67,484.4,143,2280,0,0,3.4,0,0,1.3,3,36,169,211,55,96,358303,285358,3,4.5
1,6,353,7,0,118.2,246,0,1,Joel,Ward,DEF,0,51.3,287,134,366.8,201,2255,0,0,2.5,0,0,1.2,6,31,28,380,141,66,175521,214694,5,4.5
0,11,531,14,0,79.8,307,0,2,John,Stones,DEF,4,79,207,273,520,116,1933,0,0,5.8,1,0,9.7,12,43,192,196,49,128,2788702,2135003,0,5.5
0,1,58,1,0,31.8,365,0,0,Jonathan,Castro Otto,DEF,0,10.8,417,462,61,410,496,0,0,2.3,0,0,0,20,39,14,403,154,16,5394,6734,0,4
0,0,19,0,0,8.1,431,0,0,Jonjoe,Kenny,DEF,0,2.8,462,160,11,474,78,0,0,1.2,0,0,0.1,7,11,8,418,159,5,7972,20462,0,4
2,12,536,10,0,129,240,0,2,Jonny,Evans,DEF,2,77.9,210,219,532.4,107,2473,0,0,3.9,0,0,1.4,9,13,115,268,83,109,364144,285961,7,5.5
0,0,0,0,0,0,686,0,0,Jose Diogo,Dalot Teixeira,DEF,0,0,695,314,0,692,0,0,0,0,0,0,0,13,1,0,681,241,0,463,3648,0,4
0,0,94,0,0,18.1,395,0,0,Joseph,Gomez,DEF,0,12.5,411,260,106.8,369,589,0,0,1.4,0,0,1,11,14,0,698,246,10,109938,379548,0,4
0,0,0,0,0,0,577,0,0,Juan,Foyth,DEF,0,0,600,406,0,592,0,0,0,0,0,0,0.1,17,6,0,558,225,0,1531,9829,0,4
0,0,5,0,0,0,520,0,0,Kayne,Ramsay,DEF,0,1.3,486,598,13.2,470,90,0,0,-3,0,0,0.1,16,20,0,497,192,-3,10880,8626,1,4
0,0,0,0,0,0,496,0,0,Kelland,Watts,DEF,0,0,529,342,0,520,0,0,0,0,0,0,0.1,14,4,0,472,181,0,8201,20694,0,4
0,1,85,1,0,12,411,0,0,Kevin,Long,DEF,0,14,405,85,102.6,373,636,0,0,1.8,0,0,0.1,4,90,25,384,144,14,13483,22838,2,4
0,0,80,0,0,59.7,334,0,0,Ki-Jana,Hoever,DEF,0,18.7,390,545,100.4,377,573,0,0,1.1,0,0,0,20,39,26,381,142,13,5829,5428,1,4
4,4,483,8,0,490.1,61,0,1,Kieran,Tierney,DEF,1,113.9,115,17,446.4,165,2299,0,0,3.6,0,0,4.3,1,3,201,187,42,96,1021214,1490791,4,5
0,0,5,0,0,0.1,480,0,0,Konstantinos,Tsimikas,DEF,0,0,700,242,0,697,6,0,0,1,0,0,0,11,14,0,688,244,2,2562,5274,0,4
0,3,124,3,0,2.2,448,0,1,Kortney,Hause,DEF,1,20.7,381,39,147,339,630,0,0,4.6,0,0,0.1,2,7,57,343,121,32,80874,80700,2,4.5
0,6,481,9,0,72.6,319,0,4,Kurt,Zouma,DEF,5,99,150,110,577.8,84,2027,0,0,4.5,0,0,8,5,8,339,113,12,108,2559577,2248361,3,5.5
0,0,0,0,0,0,521,0,0,Kyle,John,DEF,0,0,551,679,0,542,0,0,0,0,0,0,0,7,11,0,498,193,0,748,421,0,4
1,7,410,9,0,200.9,192,0,2,Kyle,Walker,DEF,1,62.1,257,270,332.2,222,1944,0,0,3.8,0,0,4.9,12,43,88,300,98,91,1028369,1157940,1,5.5
3,7,498,9,0,262.2,159,0,1,Kyle,Walker-Peters,DEF,0,107.5,125,375,497.6,133,2646,0,0,3.1,0,0,4.2,16,20,316,121,14,93,1200322,1724328,4,5
0,0,5,0,0,0.6,467,0,0,Leif,Davis,DEF,0,0.3,500,214,2.8,491,31,0,0,1,0,0,1.1,10,2,0,457,173,2,111096,146362,0,4
0,17,626,11,0,136.7,230,3,3,Lewis,Dunk,DEF,5,130.2,87,62,720.4,42,2932,0,0,3.9,2,0,5.9,3,36,443,83,3,130,1136216,1271208,5,5
0,0,0,0,0,0,530,0,0,Lewis,Richards,DEF,0,0,560,615,0,551,0,0,0,0,0,0,0,20,39,0,507,198,0,3354,2523,0,4
0,2,454,6,0,17.7,396,0,0,Liam,Cooper,DEF,1,89.8,170,195,620.4,64,2186,0,0,2.4,1,0,0.3,10,2,259,155,23,59,71723,106684,4,4.5
9,18,590,9,3,704.2,26,3,2,Lucas,Digne,DEF,0,143.5,78,155,592.6,74,2681,0,0,4,1,0,11.4,7,11,136,251,73,120,2355416,2221875,2,5.5
0,2,665,12,0,421.4,78,0,0,Luke,Ayling,DEF,0,161.6,59,197,843.2,15,3399,0,0,2.6,0,0,2.7,10,2,350,108,9,100,452954,531709,7,4.5
0,0,0,0,0,0,531,0,0,Luke,Mbete,DEF,0,0,561,622,0,552,0,0,0,0,0,0,0,12,43,0,508,199,0,1982,1698,0,4
5,22,640,10,1,1085.9,7,0,3,Luke,Shaw,DEF,1,192.8,39,300,596,70,2653,0,0,3.9,0,0,17.3,13,1,243,164,29,124,2095769,846587,8,5.5
0,0,132,1,0,111.7,255,0,0,Luke,Thomas,DEF,1,38.1,330,240,169,321,968,0,0,1.9,0,0,0.4,9,13,101,283,90,26,50237,50534,2,4.5
0,0,33,0,0,1.6,452,0,0,Mamadou,Sakho,DEF,0,4.5,452,127,36.6,431,275,0,0,1,0,0,0.1,6,31,6,424,161,4,26863,30713,0,4
1,5,225,5,6,204.1,187,2,1,Marcos,Alonso,DEF,2,75.6,217,104,224.2,278,958,0,0,4.4,0,0,2.2,5,8,328,117,13,57,387913,481565,2,5.5
0,0,0,0,0,0,676,0,0,Marcos,Rojo,DEF,0,0,686,294,0,683,0,0,0,0,0,0,0,13,1,0,669,239,0,1048,4671,0,4
0,0,3,0,0,0,549,0,0,Martin,Kelly,DEF,0,0.2,504,135,2.2,494,1,0,0,1,0,0,0.2,6,31,0,526,212,1,13494,82231,0,4
0,0,0,0,0,0,608,0,0,Martin,Montoya,DEF,0,0,627,63,0,621,0,0,0,0,0,0,0,3,36,0,594,230,0,210,1059,0,4
0,4,426,9,0,126,243,0,1,Mason,Holgate,DEF,1,64.1,255,165,432.2,175,2286,0,0,2.9,0,0,1,7,11,80,312,104,80,241570,184603,9,4.5
2,4,222,4,0,182.4,204,0,1,Matt,Doherty,DEF,0,52,286,457,257.2,259,1238,0,0,2.8,1,0,3.8,17,6,79,317,106,47,233771,1540220,2,5
4,9,710,16,5,607,42,6,2,Matt,Targett,DEF,0,142.2,80,42,690.4,54,3404,0,0,3.6,0,0,12,2,7,122,262,79,138,1849292,997089,7,5
2,8,468,11,0,352.9,106,0,1,Matthew,Cash,DEF,0,98.7,151,496,520.8,115,2373,0,0,3.2,1,0,0.7,2,7,110,273,86,89,220871,211501,6,5
0,0,0,0,0,0,590,0,0,Matthew,Clarke,DEF,0,0,610,73,0,602,0,0,0,0,0,0,0,3,36,0,572,229,0,339,717,0,4
1,6,545,10,0,380.8,95,0,1,Matthew,Lowton,DEF,1,105.8,129,92,551.2,96,3060,0,0,3,0,0,2.5,4,90,125,260,78,103,547303,364517,5,4.5
1,8,258,5,0,67.4,326,0,1,Max,Kilman,DEF,0,39.4,326,470,249.6,265,1307,0,0,3.2,0,0,5.9,20,39,78,318,107,58,1715264,1464150,4,4.5
1,13,649,11,0,87.8,292,0,3,Michael,Keane,DEF,3,114.5,112,156,814,20,2989,0,0,3.6,0,0,6.3,7,11,243,163,28,127,1208273,924625,4,5
0,0,0,0,0,0,634,0,0,Michal,Karbownik,DEF,0,0,649,663,0,645,0,0,0,0,0,0,0,3,36,0,623,232,0,1343,1077,0,4
0,0,119,0,0,29.9,370,0,0,Mohammed,Salisu,DEF,0,25.4,366,479,188.2,298,841,0,0,1.2,0,0,0.1,16,20,34,368,135,14,6119,23802,1,4
0,1,150,3,0,46.9,345,0,0,Nathan,Ake,DEF,1,24.7,368,279,156,329,797,0,0,2.9,0,0,2.4,12,43,44,361,132,29,271383,631492,4,5
0,0,0,0,0,0,484,0,0,Nathan,Ferguson,DEF,0,0,519,145,0,510,0,0,0,0,0,0,0.6,6,31,0,456,172,0,76549,147031,0,4
1,0,172,2,0,84.3,299,0,0,Nathaniel,Clyne,DEF,0,27.2,362,577,150.8,335,1145,0,0,2.2,0,0,0.1,6,31,34,369,136,28,60400,57999,2,4
1,1,325,7,0,90.6,286,0,1,Nathaniel,Phillips,DEF,1,60.1,261,589,376.4,195,1455,0,0,4,0,0,4.7,11,14,132,256,76,68,660325,289181,2,4.5
0,0,51,1,0,47.8,344,0,0,Neco,Williams,DEF,0,12.2,412,264,42,423,247,0,0,1.8,0,0,4.1,11,14,34,367,134,11,618136,627244,1,4
0,0,1,0,0,0.7,466,0,0,Neil,Taylor,DEF,0,0.2,505,31,0.8,503,15,0,0,-1,0,0,0.2,2,7,0,531,216,-1,19210,34156,1,4
3,11,548,9,5,412.9,82,0,0,Nelson,Cabral Semedo,DEF,1,130.7,85,546,595.2,72,2983,0,0,3.2,0,0,2.9,20,39,297,135,16,109,646076,491045,5,5
0,0,0,0,0,0,690,0,0,Nicolas,Otamendi,DEF,0,0,699,269,0,696,0,0,0,0,0,0,0.2,12,43,0,686,243,0,5379,44609,0,4
0,0,9,0,0,5.7,437,0,0,Niels,Nkounkou,DEF,0,2.2,473,559,15,466,80,0,0,1,0,0,0.2,7,11,1,452,169,2,36185,33032,1,4
0,0,0,0,0,0,500,0,0,Nigel,Lonwijk,DEF,0,0,533,629,0,524,0,0,0,0,0,0,0,20,39,0,476,184,0,3898,1895,0,4
